漢字,臺羅,頻次nc,華語,
歡歡喜喜,huann1-huann1-hi2-hi2,13,快樂,
歡歡喜喜,huann1-huann1-hi2-hi2,13,高興,
有當時仔,u7-tang1-si5-a2,8,有時候,
有當時仔,u7-tang1-si5-a2,8,偶爾,
三不五時,sam1-put4-goo7-si5,6,有時候,
今仔日,kin1-a2-jit8,142,今天,
今仔日,kin1-a2-jit8,142,今日,
猶毋過,iau2-m7-koh4,139,不過,
猶毋過,iau2-m7-koh4,139,可是,
袂用得,be7-ing7-tit4,77,不行,
會用得,e7-ing7-tit4,75,可以,
鬥相共,tau3-sann1-kang7,63,幫忙,
明仔載,bin5-a2-tsai3,61,明天,
一點仔,tsit8-tiam2-a2,57,一點點,
袂記得,be7-ki3-tit4,49,忘記,
查埔人,tsa1-poo1-lang5,40,丈夫,
查埔人,tsa1-poo1-lang5,40,男人,
查某囝,tsa1-boo2-kiann2,39,女兒,
身軀邊,sin1-khu1-pinn1,37,身上,d
身軀邊,sin1-khu1-pinn1,37,身邊,
身軀邊,sin1-khu1-pinn1,37,附近,
查某人,tsa1-boo2-lang5,34,女人,
查某人,tsa1-boo2-lang5,34,女生,
查某人,tsa1-boo2-lang5,34,太太,
查某人,tsa1-boo2-lang5,34,老婆,
好佳哉,ho2-ka1-tsai3,32,還好,
衫仔褲,sann1-a2-khoo3,30,衣服,
差不多,tsha1-put4-to1,30,差不多,
滿滿是,mua2-mua2-si7,28,到處,
一世人,tsit8-si3-lang5,28,一生,
就按呢,tsiu7-an2-ne1,28,因此,
淡薄仔,tam7-poh8-a2,27,一點點,
規身軀,kui1-sin1-khu1,23,全身,
囡仔人,gin2-a2-lang5,22,小孩,
無偌久,bo5-gua7-ku2,21,不久,
遐爾仔,hiah4-ni7-a2,20,那麼,
面頭前,bin7-thau5-tsing5,16,面前,
面頭前,bin7-thau5-tsing5,16,眼前,
跤踏車,kha1-tah8-tshia1,16,自行車,
心肝頭,sim1-kuann1-thau5,15,心中,
心肝頭,sim1-kuann1-thau5,15,心裡,
媠噹噹,sui2-tang1-tang1,14,美麗,
頭拄仔,thau5-tu2-a2,13,剛才,
頭拄仔,thau5-tu2-a2,13,剛剛,
微微仔,bi5-bi5-a2,11,一點點,
微微仔,bi5-bi5-a2,11,稍微,
老歲仔,lau7-hue3-a2,11,老人,
鬥跤手,tau3-kha1-tshiu2,11,幫忙,
手機仔,tshiu2-ki1-a2,11,手機,
拄仔好,tu2-a2-ho2,11,正好,
紅嬰仔,ang5-enn1-a2,10,嬰兒,
下昏暗,e1-hng1-am3,10,今晚,
原住民,guan5-tsu7-bin5,10,原住民,
平常時,ping5-siong5-si5,10,平時,
現此時,hian7-tshu2-si5,9,目前,
現此時,hian7-tshu2-si5,9,現今,
現此時,hian7-tshu2-si5,9,現在,
一寡仔,tsit8-kua2-a2,9,一點點,
一四界,tsit8-si3-ke3,9,到處,
候選人,hau7-suan2-jin5,8,候選人,
飛行機,hue1-ling5-ki1,8,飛機,
門跤口,mng5-kha1-khau2,8,門口,
辦公室,pan7-kong1-sik4,8,辦公室,
不止仔,put4-tsi2-a2,8,非常,
不止仔,put4-tsi2-a2,8,相當,
小可仔,sio2-khua2-a2,8,稍微,
愛人仔,ai3-jin5-a2,7,情人,
會使得,e7-sai2-tit4,7,可以,
若親像,na2-tshin1-tshiunn7,7,好像,
若親像,na2-tshin1-tshiunn7,7,彷彿,
無定著,bo5-tiann7-tioh8,6,也許,
浴間仔,ik8-king1-a2,6,浴室,
不而過,put4-ji5-ko3,6,不過,
不而過,put4-ji5-ko3,6,但是,
圖書館,too5-su1-kuan2,6,圖書館,
大部份,tua7-poo7-hun7,6,大部份,
啥物,siann2-mih4,551,什麼,
按呢,an2-ne1,514,如此,d
按呢,an2-ne1,514,這樣,
按怎,an2-tsuann2,382,怎麼,
按怎,an2-tsuann2,382,怎樣,
會當,e7-tang3,339,可以,
會當,e7-tang3,339,能夠,
代誌,tai7-tsi3,329,事情,
阿母,a1-bu2,314,母親,
阿母,a1-bu2,314,媽媽,
逐家,tak8-ke1,313,大家,
知影,tsai1-iann2,306,知道,
知影,tsai1-iann2,306,曉得,
知影,tsai1-iann2,306,懂得,
佇咧,ti7-leh4,266,正在,
佇咧,ti7-leh4,266,在,
因為,in1-ui7,263,因為,
時陣,si5-tsun7,260,時候,
這馬,tsit4-ma2,260,現在,
阿爸,a1-pah4,243,父親,
阿爸,a1-pah4,243,爸爸,
起來,khi2-lai5,241,上來,
起來,khi2-lai5,241,起床,
已經,i2-king1,239,已經,
一定,it4-ting7,224,一定,
實在,sit8-tsai7,217,真正,
實在,sit8-tsai7,217,真的,
實在,sit8-tsai7,217,實在,
家己,ka1-ki7,205,本人,
家己,ka1-ki7,205,本身,
家己,ka1-ki7,205,自己,
毋過,m7-koh4,202,不過,
一下,tsit8-e7,190,一下,
一下,tsit8-e7,190,一,
一下,tsit8-e7,190,得,
所以,soo2-i2,188,所以,
歡喜,huann1-hi2,183,高興,
歡喜,huann1-hi2,183,愉快,
親像,tshin1-tshiunn7,183,好像,
仝款,kang7-khuan2,168,同樣,
感覺,kam2-kak4,166,感覺,
了後,liau2-au7,163,之後,
老師,lau7-su1,159,老師,
有夠,u7-kau3,157,非常,
有夠,u7-kau3,157,很,
干焦,kan1-na1,154,只有,
真正,tsin1-tsiann3,154,真正,
真正,tsin1-tsiann3,154,真實,d
真正,tsin1-tsiann3,154,確實,
一直,it4-tit8,147,一直,
落去,loh8-khi3,146,下去,
物件,mih8-kiann7,145,東西,
物件,mih8-kiann7,145,物品,
毋通,m7-thang1,138,不要,
媽媽,ma2-mah4,136,媽媽,
啥人,siann2-lang5,136,誰,
所在,soo2-tsai7,136,地方,
所在,soo2-tsai7,136,所在,
第一,te7-it4,133,第一,
出來,tshut4-lai5,132,出來,
目睭,bak8-tsiu1,129,眼睛,
應該,ing1-kai1,127,應該,
落來,loh8-lai5,127,下來,
多謝,to1-sia7,119,感謝,
多謝,to1-sia7,119,謝謝,
內底,lai7-te2,115,內部,
內底,lai7-te2,115,裡面,
雖然,sui1-jian5,113,雖然,
佗位,to2-ui7,111,哪裡,
來去,lai5-khi3,109,去,
來去,lai5-khi3,109,離開,
歹勢,phainn2-se3,108,不好意思,
開始,khai1-si2,107,開始,
若是,na7-si7,107,如果,
若是,na7-si7,107,要是,
朋友,ping5-iu2,107,朋友,
做伙,tso3-hue2,107,一起,
敢若,kann2-na2,106,好像,
敢若,kann2-na2,106,似乎,
猶閣,iau2-koh4,105,還,
可能,kho2-ling5,105,可能,
學校,hak8-hau7,103,學校,
抑是,iah8-si7,102,或者,
抑是,iah8-si7,102,或是,
定定,tiann7-tiann7,99,常常,
定定,tiann7-tiann7,99,經常,
到底,tau3-te2,97,究竟,
到底,tau3-te2,97,到底,
